artist,song,genre,era,url
Jack Harlow,First Class,Hip-Hop,2020s,https://www.youtube.com/watch?v=yQBImEeXNZ4
Jamiroquai,Virtual Insanity,Alternative,1990s,https://www.youtube.com/watch?v=4JkIs37a2JE
Jane's Addiction,Jane Says,Alternative,1980s,https://www.youtube.com/watch?v=i7Q_8q3XXrQ
Janet Jackson,Rhythm Nation,Pop,1980s,https://www.youtube.com/watch?v=OAwaNWGLM0c
Jason Isbell,Travelling Alone,Rock,2010s,https://www.youtube.com/watch?v=EUqHEzgFRoA
Jason Isbell,Alabama Pines,Rock,2010s,https://www.youtube.com/watch?v=L9d5yNcFGlY
Jason Isbell and the 400 Unit,White Beretta,Rock,2020s,https://www.youtube.com/watch?v=4mauQ0lygg8
Jason Isbell and the 400 Unit,King of Oklahoma,Rock,2020s,https://www.youtube.com/watch?v=j4lEqjTkFr4
Jason Isbell and the 400 Unit,Only Children,Rock,2020s,https://www.youtube.com/watch?v=_bKi2aQxU14
JAY-Z,99 Problems,Hip-Hop,2000s,https://www.youtube.com/watch?v=6dVdd3RsbSE
Jay-Z,Big Pimpin',Hip-Hop,2000s,https://www.youtube.com/watch?v=Cgoqrgc_0cM
JAY-Z feat. Alicia Keys,Empire State of Mind,Hip-Hop,2000s,https://www.youtube.com/watch?v=vk6014HuxcE
John Mellencamp,Pink Houses,Rock,1980s,https://www.youtube.com/watch?v=qOfkpu6749w
Johnny Cash,Hurt,Alternative,2000s,https://www.youtube.com/watch?v=8AHCfZTRGiI
Journey,Don't Stop Believin',Rock,1980s,https://www.youtube.com/watch?v=x3idGV-7kSQ
Justin Timberlake,Cry Me a River,Pop,2000s,https://www.youtube.com/watch?v=DksSPZTZES0
Kanye West,Stronger,Hip-Hop,2000s,https://www.youtube.com/watch?v=PsO6ZnUZI0g
Katy Perry,Hot n Cold,Pop,2000s,https://www.youtube.com/watch?v=kTHNpusq654
KC and the Sunshine Band,That's the Way (I Like It),Pop,1970s,https://www.youtube.com/watch?v=cXEnmmBD7OY
Kelly Clarkson,Since U Been Gone,Pop,2000s,https://www.youtube.com/watch?v=eRlsE9bD7HM
Kendrick Lamar,HUMBLE.,Hip-Hop,2010s,https://www.youtube.com/watch?v=tvTRZJ-4EyI
Kings of Leon,Sex on Fire,Alternative,2000s,https://www.youtube.com/watch?v=RF0HhrwIwp0
Lady Gaga,Bad Romance,Pop,2000s,https://www.youtube.com/watch?v=qrO4YZeyl0I
Led Zeppelin,Stairway to Heaven,Rock,1970s,https://www.youtube.com/watch?v=Ly6ZhQVnVow
Lil Wayne,Lollipop,Hip-Hop,2000s,https://www.youtube.com/watch?v=2IH8tNQAzSs
Linkin Park,In the End,Rock,2000s,https://www.youtube.com/watch?v=eVTXPUF4Oz4
Lionel Richie,Hello,Pop,1980s,https://www.youtube.com/watch?v=mHONNcZbwDY
Lisa Loeb,Stay (I Missed You),Pop,1990s,https://www.youtube.com/watch?v=EoZ2J4ajiOA
Live,Lightning Crashes,Rock,1990s,https://www.youtube.com/watch?v=xsJ4O-nSveg
