artist,song,genre,era,url
Better Than Ezra,Good,Alternative,90s,https://www.youtube.com/watch?v=PFaQ_gPOTks
Blind Melon,No Rain,Alternative,90s,https://www.youtube.com/watch?v=3qVPNONdF58
Blues Traveler,Run-Around,Alternative,90s,https://www.youtube.com/watch?v=ousaiByU1ko
Blues Traveler,Hook,Alternative,90s,https://www.youtube.com/watch?v=pdz5kCaCRFM
CAKE,The Distance,Alternative,90s,https://www.youtube.com/watch?v=F_HoMkkRHv8
Candlebox,Far Behind,Rock,90s,https://www.youtube.com/watch?v=eu3EuWg2qNI
Eve 6,Inside Out,Alternative,90s,https://www.youtube.com/watch?v=T8Xb_7YDroQ
Green Day,Basket Case,Alternative,90s,https://www.youtube.com/watch?v=QkKGBWfaNM4
Harvey Danger,Flagpole Sitta,Alternative,90s,https://www.youtube.com/watch?v=wYsMjEeEg4g
Hole,Celebrity Skin,Alternative,90s,https://www.youtube.com/watch?v=O3dWBLoU--E
Live,I Alone,Rock,90s,https://www.youtube.com/watch?v=FNrQOUtXYOo
Marcy Playground,Sex and Candy,Alternative,90s,https://www.youtube.com/watch?v=-KT-r2vHeMM
Matchbox Twenty,Push,Rock,90s,https://www.youtube.com/watch?v=HAkHqYlqops
Matchbox Twenty,3AM,Rock,90s,https://www.youtube.com/watch?v=C-Naa1HXeDQ
Nirvana,Heart Shaped Box,Rock,90s,https://www.youtube.com/watch?v=n6P0SitRwy8
Red Hot Chili Peppers,Otherside,Rock,90s,https://www.youtube.com/watch?v=rn_YodiJO6k
Red Hot Chili Peppers,Californication,Rock,90s,https://www.youtube.com/watch?v=YlUKcNNmywk
Semisonic,Closing Time,Alternative,90s,https://www.youtube.com/watch?v=xGytDsqkQY8
Smashing Pumpkins,Today,Rock,90s,https://www.youtube.com/watch?v=xmUZ6nCFNoU
Stone Temple Pilots,Plush,Rock,90s,https://www.youtube.com/watch?v=V5UOC0C0x8Q
Stone Temple Pilots,Vasoline,Rock,90s,https://www.youtube.com/watch?v=ht672-wYelc
Sublime,Santeria,Alternative,90s,https://www.youtube.com/watch?v=AEYN5w4T_aM
The New Radicals,You Get What You Give,Alternative,90s,https://www.youtube.com/watch?v=DL7-CKirWZE
The Toadies,Possum Kingdom,Alternative,90s,https://www.youtube.com/watch?v=EkwD5rQ-_d4
